id,lat,lon,n
31756,24.375,54.275,-32.851
31757,24.375,54.29166667,-32.861
31758,24.375,54.30833333,-32.872
31759,24.375,54.325,-32.881
31760,24.375,54.34166667,-32.891
31761,24.375,54.35833333,-32.902
31763,24.375,54.39166667,-32.922
31764,24.375,54.40833333,-32.934
31765,24.375,54.425,-32.946
31766,24.375,54.44166667,-32.959
31767,24.375,54.45833333,-32.972
31768,24.375,54.475,-32.982
31769,24.375,54.49166667,-32.994
31770,24.375,54.50833333,-33.005
31771,24.375,54.525,-33.015
31772,24.375,54.54166667,-33.022
31773,24.375,54.55833333,-33.029
32038,24.39166667,54.275,-32.85
32039,24.39166667,54.29166667,-32.86
32040,24.39166667,54.30833333,-32.87
32041,24.39166667,54.325,-32.881
32042,24.39166667,54.34166667,-32.891
32043,24.39166667,54.35833333,-32.901
32044,24.39166667,54.375,-32.911
32045,24.39166667,54.39166667,-32.921
32046,24.39166667,54.40833333,-32.932
32047,24.39166667,54.425,-32.943
32048,24.39166667,54.44166667,-32.955
32049,24.39166667,54.45833333,-32.968
32050,24.39166667,54.475,-32.98
32051,24.39166667,54.49166667,-32.993
32052,24.39166667,54.50833333,-33.006
32053,24.39166667,54.525,-33.017
32054,24.39166667,54.54166667,-33.026
32055,24.39166667,54.55833333,-33.033
32320,24.40833333,54.275,-32.849
32321,24.40833333,54.29166667,-32.859
32322,24.40833333,54.30833333,-32.87
32323,24.40833333,54.325,-32.88
32324,24.40833333,54.34166667,-32.89
32325,24.40833333,54.35833333,-32.9
32326,24.40833333,54.375,-32.91
32327,24.40833333,54.39166667,-32.92
32328,24.40833333,54.40833333,-32.93
32329,24.40833333,54.425,-32.941
32330,24.40833333,54.44166667,-32.952
32331,24.40833333,54.45833333,-32.964
32332,24.40833333,54.475,-32.977
32333,24.40833333,54.49166667,-32.993
32334,24.40833333,54.50833333,-33.007
32335,24.40833333,54.525,-33.018
32336,24.40833333,54.54166667,-33.027
32337,24.40833333,54.55833333,-33.035
32602,24.425,54.275,-32.848
32603,24.425,54.29166667,-32.859
32604,24.425,54.30833333,-32.869
32605,24.425,54.325,-32.88
32606,24.425,54.34166667,-32.89
32607,24.425,54.35833333,-32.9
32608,24.425,54.375,-32.909
32609,24.425,54.39166667,-32.919
32610,24.425,54.40833333,-32.928
32611,24.425,54.425,-32.939
32612,24.425,54.44166667,-32.95
32613,24.425,54.45833333,-32.963
32614,24.425,54.475,-32.975
32615,24.425,54.49166667,-32.99
32616,24.425,54.50833333,-33.005
32617,24.425,54.525,-33.017
32618,24.425,54.54166667,-33.028
32619,24.425,54.55833333,-33.037
32884,24.44166667,54.275,-32.847
32885,24.44166667,54.29166667,-32.858
32886,24.44166667,54.30833333,-32.869
32887,24.44166667,54.325,-32.879
32888,24.44166667,54.34166667,-32.89
32889,24.44166667,54.35833333,-32.9
32890,24.44166667,54.375,-32.911
32891,24.44166667,54.39166667,-32.92
32892,24.44166667,54.40833333,-32.929
32893,24.44166667,54.425,-32.94
32894,24.44166667,54.44166667,-32.951
32895,24.44166667,54.45833333,-32.963
32896,24.44166667,54.475,-32.976
32897,24.44166667,54.49166667,-32.99
32898,24.44166667,54.50833333,-33.003
32899,24.44166667,54.525,-33.015
32900,24.44166667,54.54166667,-33.026
32901,24.44166667,54.55833333,-33.036
33166,24.45833333,54.275,-32.847
33167,24.45833333,54.29166667,-32.858
33168,24.45833333,54.30833333,-32.868
33169,24.45833333,54.325,-32.879
33170,24.45833333,54.34166667,-32.89
33171,24.45833333,54.35833333,-32.901
33172,24.45833333,54.375,-32.911
33173,24.45833333,54.39166667,-32.92
33174,24.45833333,54.40833333,-32.931
33175,24.45833333,54.425,-32.942
33176,24.45833333,54.44166667,-32.953
33177,24.45833333,54.45833333,-32.965
33178,24.45833333,54.475,-32.977
33179,24.45833333,54.49166667,-32.99
33180,24.45833333,54.50833333,-33.002
33181,24.45833333,54.525,-33.014
33182,24.45833333,54.54166667,-33.024
33183,24.45833333,54.55833333,-33.034
33448,24.475,54.275,-32.845
33449,24.475,54.29166667,-32.857
33450,24.475,54.30833333,-32.868
33451,24.475,54.325,-32.879
33452,24.475,54.34166667,-32.89
33453,24.475,54.35833333,-32.902
33454,24.475,54.375,-32.913
33455,24.475,54.39166667,-32.924
33456,24.475,54.40833333,-32.934
33457,24.475,54.425,-32.945
33458,24.475,54.44166667,-32.955
33459,24.475,54.45833333,-32.966
33460,24.475,54.475,-32.978
33461,24.475,54.49166667,-32.989
33462,24.475,54.50833333,-33.001
33463,24.475,54.525,-33.012
33464,24.475,54.54166667,-33.022
33465,24.475,54.55833333,-33.032
33731,24.49166667,54.29166667,-32.856
33732,24.49166667,54.30833333,-32.867
33733,24.49166667,54.325,-32.879
33734,24.49166667,54.34166667,-32.891
33735,24.49166667,54.35833333,-32.903
33736,24.49166667,54.375,-32.916
33737,24.49166667,54.39166667,-32.927
33738,24.49166667,54.40833333,-32.937
33739,24.49166667,54.425,-32.947
33740,24.49166667,54.44166667,-32.957
33741,24.49166667,54.45833333,-32.968
33742,24.49166667,54.475,-32.978
33743,24.49166667,54.49166667,-32.989
33744,24.49166667,54.50833333,-33.0
33745,24.49166667,54.525,-33.01
33746,24.49166667,54.54166667,-33.021
33747,24.49166667,54.55833333,-33.03
34015,24.50833333,54.325,-32.879
34016,24.50833333,54.34166667,-32.891
34017,24.50833333,54.35833333,-32.905
34018,24.50833333,54.375,-32.918
34019,24.50833333,54.39166667,-32.93
34020,24.50833333,54.40833333,-32.94
34021,24.50833333,54.425,-32.949
34022,24.50833333,54.44166667,-32.959
34023,24.50833333,54.45833333,-32.969
34024,24.50833333,54.475,-32.979
34025,24.50833333,54.49166667,-32.989
34026,24.50833333,54.50833333,-32.999
34027,24.50833333,54.525,-33.009
34028,24.50833333,54.54166667,-33.019
34029,24.50833333,54.55833333,-33.029
34297,24.525,54.325,-32.879
34298,24.525,54.34166667,-32.892
34299,24.525,54.35833333,-32.905
34300,24.525,54.375,-32.918
34301,24.525,54.39166667,-32.93
34302,24.525,54.40833333,-32.941
34303,24.525,54.425,-32.951
34304,24.525,54.44166667,-32.96
34305,24.525,54.45833333,-32.97
34306,24.525,54.475,-32.98
34307,24.525,54.49166667,-32.989
34308,24.525,54.50833333,-32.999
34309,24.525,54.525,-33.009
34310,24.525,54.54166667,-33.019
34311,24.525,54.55833333,-33.029
34580,24.54166667,54.34166667,-32.892
34581,24.54166667,54.35833333,-32.905
34582,24.54166667,54.375,-32.918
34583,24.54166667,54.39166667,-32.93
34584,24.54166667,54.40833333,-32.941
34585,24.54166667,54.425,-32.951
34586,24.54166667,54.44166667,-32.961
34587,24.54166667,54.45833333,-32.972
34588,24.54166667,54.475,-32.98
34589,24.54166667,54.49166667,-32.99
34590,24.54166667,54.50833333,-33.0
34591,24.54166667,54.525,-33.01
34592,24.54166667,54.54166667,-33.02
34593,24.54166667,54.55833333,-33.03
34863,24.55833333,54.35833333,-32.904
34864,24.55833333,54.375,-32.917
34865,24.55833333,54.39166667,-32.929
34866,24.55833333,54.40833333,-32.94
34867,24.55833333,54.425,-32.951
34868,24.55833333,54.44166667,-32.961
34869,24.55833333,54.45833333,-32.972
34870,24.55833333,54.475,-32.981
34871,24.55833333,54.49166667,-32.991
34872,24.55833333,54.50833333,-33.001
34873,24.55833333,54.525,-33.011
34874,24.55833333,54.54166667,-33.021
34875,24.55833333,54.55833333,-33.032
35150,24.575,54.44166667,-32.961
35151,24.575,54.45833333,-32.971
35152,24.575,54.475,-32.982
35153,24.575,54.49166667,-32.992
35154,24.575,54.50833333,-33.002
35155,24.575,54.525,-33.013
35156,24.575,54.54166667,-33.023
35157,24.575,54.55833333,-33.034
35433,24.59166667,54.45833333,-32.971
35434,24.59166667,54.475,-32.982
35435,24.59166667,54.49166667,-32.993
35436,24.59166667,54.50833333,-33.003
35437,24.59166667,54.525,-33.014
35438,24.59166667,54.54166667,-33.025
35439,24.59166667,54.55833333,-33.036
